timeHist0,timeHist1,timeHist2,timeHist3,timeHist4
4.100000000000000000e+01,3.415632548206098704e+02,2.989092128595895588e+02,2.979981941815755704e+02,-3.435458731188322304e-04
4.200000000000000000e+01,3.418771785873509543e+02,2.989998514510496079e+02,2.979978316468221351e+02,-4.099648218615819031e-04
4.300000000000000000e+01,3.421757921113252223e+02,2.990939123801431947e+02,2.979974835645292615e+02,-4.722838153935303559e-04
4.400000000000000000e+01,3.424598420818833802e+02,2.991912591448897842e+02,2.979971658311154670e+02,-5.271882583516178172e-04
4.500000000000000000e+01,3.427300387719068340e+02,2.992917539705225067e+02,2.979968959906822192e+02,-5.710292245107507266e-04
4.600000000000000000e+01,3.429870578138598489e+02,2.993952585432102751e+02,2.979966931164926791e+02,-5.998477838572961610e-04
4.700000000000000000e+01,3.432315418892225694e+02,2.995016346558739997e+02,2.979965776832701749e+02,-6.094011778009632719e-04
4.800000000000000000e+01,3.434641023355294465e+02,2.996107447741090368e+02,2.979965714329442790e+02,-5.951903056504487428e-04
4.900000000000000000e+01,3.436853206750315053e+02,2.997224525296728075e+02,2.979966972362002480e+02,-5.524880430177208550e-04
5.000000000000000000e+01,3.438957500688051141e+02,2.998366231484482682e+02,2.979969789519153665e+02,-4.763679679255971504e-04
5.100000000000000000e+01,3.440959166999423928e+02,2.999531238192585079e+02,2.979974412863052180e+02,-3.617331209064713455e-04
5.200000000000000000e+01,3.442863210892833763e+02,3.000718240093963800e+02,2.979981096533518894e+02,-2.033444818038275981e-04
5.300000000000000000e+01,3.444674393469785514e+02,3.001925957322432055e+02,2.979990100378537932e+02,4.151110635987659567e-06
5.400000000000000000e+01,3.446397243630125899e+02,3.003153137718933294e+02,2.980001688622180041e+02,2.661938249969866507e-04
5.500000000000000000e+01,3.448036069396646894e+02,3.004398558692691381e+02,2.980016128579204633e+02,5.882846751953773722e-04
5.600000000000000000e+01,3.449594968687391656e+02,3.005661028738112464e+02,2.980033689423767669e+02,9.759604823190446213e-04
5.700000000000000000e+01,3.451077839562581175e+02,3.006939388644571522e+02,2.980054641018072061e+02,1.434770076613504529e-03
5.800000000000000000e+01,3.452488389971796892e+02,3.008232512432795716e+02,2.980079252805340388e+02,1.970251828649200159e-03
5.900000000000000000e+01,3.453830147025784640e+02,3.009539308048389898e+02,2.980107792770232891e+02,2.587912571391638369e-03
